TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
HOU,16,"5,802",362.6,"3,781",236.3,"2,021",126.3,402,25.1,2018
ATL,16,"6,075",379.7,"4,714",294.6,"1,361",85.1,381,23.8,2019
BUF,16,"5,283",330.2,"3,229",201.8,"2,054",128.4,314,19.6,2019
CHI,16,"4,749",296.8,"3,291",205.7,"1,458",91.1,280,17.5,2019
CIN,16,"5,169",323.1,"3,652",228.3,"1,517",94.8,279,17.4,2019
CLE,16,"5,455",340.9,"3,554",222.1,"1,901",118.8,335,20.9,2019
DAL,16,"6,904",431.5,"4,751",296.9,"2,153",134.6,434,27.1,2019
DEN,16,"4,777",298.6,"3,115",194.7,"1,662",103.9,282,17.6,2019
DET,16,"5,549",346.8,"3,900",243.8,"1,649",103.1,341,21.3,2019
GNB,16,"5,528",345.5,"3,733",233.3,"1,795",112.2,376,23.5,2019
TEN,16,"5,805",362.8,"3,582",223.9,"2,223",138.9,402,25.1,2019
IND,16,"5,238",327.4,"3,108",194.3,"2,130",133.1,361,22.6,2019
KAN,16,"6,067",379.2,"4,498",281.1,"1,569",98.1,451,28.2,2019
LVR,16,"5,819",363.7,"3,926",245.4,"1,893",118.3,313,19.6,2019
LAR,16,"5,998",374.9,"4,499",281.2,"1,499",93.7,394,24.6,2019
MIA,16,"4,960",310,"3,804",237.8,"1,156",72.3,306,19.1,2019
MIN,16,"5,656",353.5,"3,523",220.2,"2,133",133.3,407,25.4,2019
NWE,16,"5,664",354,"3,961",247.6,"1,703",106.4,420,26.3,2019
NOR,16,"5,982",373.9,"4,244",265.3,"1,738",108.6,458,28.6,2019
NYG,16,"5,416",338.5,"3,731",233.2,"1,685",105.3,341,21.3,2019
NYJ,16,"4,368",273,"3,111",194.4,"1,257",78.6,276,17.3,2019
PHI,16,"5,772",360.8,"3,833",239.6,"1,939",121.2,385,24.1,2019
ARI,16,"5,467",341.7,"3,477",217.3,"1,990",124.4,361,22.6,2019
PIT,16,"4,428",276.8,"2,981",186.3,"1,447",90.4,289,18.1,2019
LAC,16,"5,879",367.4,"4,426",276.6,"1,453",90.8,337,21.1,2019
