Name;Info
Grayson, Cyril;5-10, 206lb (178cm, 93kg) 
Boykin, Miles;6-4, 220lb (193cm, 99kg) 
Pringle, Byron;6-1, 201lb (185cm, 91kg) 
Bryant, Ventell;6-3, 205lb (190cm, 92kg) 
Board, C.J.;6-1, 181lb (185cm, 82kg) 
Davis, Robert;6-3, 210lb (190cm, 95kg) 
Cain, Deon;6-2, 202lb (188cm, 91kg) 
Blake, Christian;6-1, 181lb (185cm, 82kg) 
Patton, Andre;6-4, 200lb (193cm, 90kg) 
Arcega-Whiteside, JJ;6-2, 225lb (188cm, 102kg) 
Isabella, Andy;5-9, 188lb (175cm, 85kg) 
Dulin, Ashton;6-1, 215lb (185cm, 97kg) 
Webster, Nsimba;5-10, 180lb (178cm, 81kg) 
Fulgham, Travis;6-2, 215lb (188cm, 97kg) 
Spencer, Diontae;5-8, 170lb (173cm, 77kg) 
McLaurin, Terry;6-0, 210lb (183cm, 95kg) 
Hyman, Ishmael;6-0, 196lb (183cm, 88kg) 
Hogan, Krishawn;6-3, 217lb (190cm, 98kg) 
Hollister, Cody;6-4, 209lb (193cm, 94kg) 
Walker, Michael;5-11, 195lb (180cm, 88kg) 
Doss, Keelan;6-3, 215lb (190cm, 97kg) 
Campbell, Parris;6-0, 208lb (183cm, 94kg) 
Olszewski, Gunner;6-0, 190lb (183cm, 86kg) 
Shepherd, Darrius;5-11, 186lb (180cm, 84kg) 
Jeudy, Jerry;6-1, 193lb (185cm, 87kg) 
Jefferson, Justin;6-1, 195lb (185cm, 88kg) 
Shenault Jr., Laviska;6-1, 227lb (185cm, 102kg) 
Claypool, Chase;6-3, 246lb (190cm, 111kg) 
Mooney, Darnell;5-11, 173lb (180cm, 78kg) 
Cephus, Quintez;6-1, 208lb (185cm, 94kg) 
Bowden, Lynn;6-0, 201lb (183cm, 91kg) 
Lamb, CeeDee;6-2, 189lb (188cm, 85kg) 
Perry, Malcolm;5-9, 190lb (175cm, 86kg) 
Jefferson, Van;6-1, 200lb (185cm, 90kg) 
Cleveland, Tyrie;6-2, 209lb (188cm, 94kg) 
Godwin, Terry;5-11, 185lb (180cm, 83kg) 
Ruggs III, Henry;6-0, 190lb (183cm, 86kg) 
Johnson, Tyron;6-1, 206lb (185cm, 93kg) 
Johnson, Tyler;6-1, 206lb (185cm, 93kg) 
Reagor, Jalen;5-11, 197lb (180cm, 89kg) 
Mims, Denzel;6-3, 207lb (190cm, 93kg) 
Duvernay, Devin;5-11, 210lb (180cm, 95kg) 
Peoples-Jones, Donovan;6-2, 204lb (188cm, 92kg) 
Watkins, Quez;6-0, 193lb (183cm, 87kg) 
Hightower, John;6-1, 189lb (185cm, 85kg) 
Swain, Freddie;6-0, 199lb (183cm, 90kg) 
Rowland, Chris;5-8, 180lb (173cm, 81kg) 
Higgins, Tee;6-4, 215lb (193cm, 97kg) 
Westbrook, Nick;6-2, 215lb (188cm, 97kg) 
Agnew, Jamal;5-10, 190lb (178cm, 86kg) 
Bradley, Ja'Marcus;6-1, 212lb (185cm, 96kg) 
Aiyuk, Brandon;6-0, 200lb (183cm, 90kg) 
Irwin, Trenton;6-2, 207lb (188cm, 93kg) 
Hamler, KJ;5-9, 178lb (175cm, 80kg) 
Gandy-Golden, Antonio;6-4, 223lb (193cm, 101kg) 
Proche, James;5-11, 193lb (180cm, 87kg) 
Badet, Jeff;5-11, 182lb (180cm, 82kg) 
Fountain, Daurice;6-2, 210lb (188cm, 95kg) 
Zuber, Isaiah;6-0, 190lb (183cm, 86kg) 
Chase, Ja'Marr;6-0, 201lb (183cm, 91kg) 
Wilkerson, Kristian;6-1, 214lb (185cm, 97kg) 
Bateman, Rashod;6-2, 210lb (188cm, 95kg) 
Waddle, Jaylen;5-10, 182lb (178cm, 82kg) 
Collins, Nico;6-4, 215lb (193cm, 97kg) 
Benson, Trinity;6-0, 180lb (183cm, 81kg) 
Palmer, Josh;6-1, 210lb (185cm, 95kg) 
Jennings, Jauan;6-3, 212lb (190cm, 96kg) 
Williams, Seth;6-3, 211lb (190cm, 95kg) 
Skowronek, Ben;6-3, 224lb (190cm, 101kg) 
Marshall, Terrace;6-2, 200lb (188cm, 90kg) 
Brown, Dyami;6-0, 195lb (183cm, 88kg) 
Winfree, Juwann;6-3, 215lb (190cm, 97kg) 
Milne, Dax;6-0, 190lb (183cm, 86kg) 
Smith-Marsette, Ihmir;6-1, 185lb (185cm, 83kg) 
Wallace, Tylan;5-11, 195lb (180cm, 88kg) 
Merritt, Kirk;6-0, 210lb (183cm, 95kg) 
Patmon, Dezmon;6-4, 220lb (193cm, 99kg) 
Darby, Frank;6-1, 200lb (185cm, 90kg) 
McMath, Racey;6-3, 217lb (190cm, 98kg) 
Schwartz, Anthony;6-0, 186lb (183cm, 84kg) 
Fitzpatrick, Dez;6-2, 210lb (188cm, 95kg) 
Stevenson, Marquez;6-0, 190lb (183cm, 86kg) 
Toney, Kadarius;6-0, 193lb (183cm, 87kg) 
Newsome, Dazz;5-11, 190lb (180cm, 86kg) 
Ffrench, Maurice;5-11, 200lb (180cm, 90kg) 
Winston Jr., Easop;5-11, 190lb (180cm, 86kg) 
Rodgers, Amari;5-9, 212lb (175cm, 96kg) 
Darden, Jaelon;5-8, 174lb (173cm, 78kg) 
Moore, Elijah;5-10, 178lb (178cm, 80kg) 
Coulter, Isaiah;6-2, 198lb (188cm, 89kg) 
Atwell, Tutu;5-9, 165lb (175cm, 74kg) 
