TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
LAR,16,"5,434",339.6,"3,475",217.2,"1,959",122.4,329,20.6,2017
MIA,16,"5,371",335.7,"3,603",225.2,"1,768",110.5,393,24.6,2017
MIN,16,"4,415",275.9,"3,078",192.4,"1,337",83.6,252,15.8,2017
NWE,16,"5,856",366,"4,020",251.3,"1,836",114.8,296,18.5,2017
NOR,16,"5,384",336.5,"3,597",224.8,"1,787",111.7,326,20.4,2017
NYG,16,"5,971",373.2,"4,038",252.4,"1,933",120.8,388,24.3,2017
NYJ,16,"5,636",352.3,"3,749",234.3,"1,887",117.9,382,23.9,2017
PHI,16,"4,904",306.5,"3,637",227.3,"1,267",79.2,295,18.4,2017
ARI,16,"4,975",310.9,"3,541",221.3,"1,434",89.6,361,22.6,2017
PIT,16,"4,910",306.9,"3,217",201.1,"1,693",105.8,308,19.3,2017
LAC,16,"5,254",328.4,"3,156",197.3,"2,098",131.1,272,17,2017
SFO,16,"5,625",351.6,"3,764",235.3,"1,861",116.3,383,23.9,2017
SEA,16,"5,171",323.2,"3,347",209.2,"1,824",114,332,20.8,2017
TAM,16,"6,049",378.1,"4,169",260.6,"1,880",117.5,382,23.9,2017
WAS,16,"5,566",347.9,"3,420",213.8,"2,146",134.1,388,24.3,2017
CAR,16,"5,074",317.1,"3,665",229.1,"1,409",88.1,327,20.4,2017
JAX,16,"4,578",286.1,"2,718",169.9,"1,860",116.3,268,16.8,2017
BAL,16,"5,201",325.1,"3,421",213.8,"1,780",111.3,303,18.9,2017
HOU,16,"5,546",346.6,"3,799",237.4,"1,747",109.2,436,27.3,2017
ATL,16,"6,152",384.5,"4,153",259.6,"1,999",124.9,423,26.4,2018
BUF,16,"4,706",294.1,"2,867",179.2,"1,839",114.9,374,23.4,2018
CHI,16,"4,795",299.7,"3,515",219.7,"1,280",80,283,17.7,2018
CIN,16,"6,618",413.6,"4,414",275.9,"2,204",137.8,455,28.4,2018
CLE,16,"6,288",393,"4,125",257.8,"2,163",135.2,392,24.5,2018
DAL,16,"5,268",329.3,"3,755",234.7,"1,513",94.6,324,20.3,2018
DEN,16,"5,842",365.1,"3,929",245.6,"1,913",119.6,349,21.8,2018
DET,16,"5,360",335,"3,599",224.9,"1,761",110.1,360,22.5,2018
GNB,16,"5,670",354.4,"3,752",234.5,"1,918",119.9,400,25,2018
TEN,16,"5,334",333.4,"3,471",216.9,"1,863",116.4,303,18.9,2018
IND,16,"5,431",339.4,"3,805",237.8,"1,626",101.6,344,21.5,2018
KAN,16,"6,488",405.5,"4,374",273.4,"2,114",132.1,421,26.3,2018
LVR,16,"6,102",381.4,"3,853",240.8,"2,249",140.6,467,29.2,2018
